transaction_id,customer_id,transaction_type,device_type,location,merchant_category,hour_of_day,transaction_amount,account_balance_before,balance_after_transaction,transactions_last_24h,is_international,is_anomaly
100111,1461,transfer,web,Mumbai,electronics,21,2754.75,58496.74,55741.99,9,0,0
100112,1726,purchase,mobile,Chennai,grocery,22,8970.84,76894.27,67923.43000000001,2,0,0
100113,1251,purchase,web,Delhi,fashion,3,5621.85,40098.86,34477.01,3,0,0
100114,1701,cash_in,POS,Mumbai,travel,10,4332.59,39241.12,34908.53,9,0,0
100115,1295,transfer,POS,Hyderabad,grocery,17,1726.97,50121.0,48394.03,5,0,0
100116,1724,payment,mobile,Bangalore,fashion,17,8508.45,70673.52,62165.07000000001,8,1,0
100117,1719,payment,POS,Chennai,travel,9,7293.3,43425.32,36132.02,7,0,0
100118,1748,cash_out,ATM,Mumbai,electronics,16,5003.77,77627.76,72623.98999999999,6,0,0
100119,1337,payment,ATM,Mumbai,fashion,12,1789.68,34144.12,32354.440000000002,2,0,0
100120,1878,cash_in,mobile,Chennai,electronics,13,9147.33,52820.73,43673.4,4,0,0
100121,1052,purchase,mobile,Hyderabad,fashion,6,4088.02,24481.1,20393.079999999998,9,0,0
100122,1791,purchase,web,Hyderabad,utility,9,3321.22,35957.8,32636.58,7,0,0
100123,1921,purchase,POS,Delhi,electronics,2,4877.19,46798.99,41921.799999999996,3,0,0
100124,1216,transfer,web,Hyderabad,electronics,1,5937.84,54052.91,48115.07000000001,6,1,0
100125,1763,payment,web,Delhi,electronics,18,4578.42,68610.98,64032.56,8,0,0
100126,1187,cash_in,ATM,Mumbai,grocery,6,100.0,39510.06,39410.06,8,1,0
100127,1379,transfer,ATM,Chennai,travel,4,5624.07,56309.66,50685.590000000004,8,0,0
100128,1492,cash_out,ATM,Hyderabad,electronics,2,5027.055,29913.39,22606.94,8,1,0
100129,1040,cash_in,ATM,Delhi,electronics,1,2772.37,65147.8,62375.43,10,0,0
100130,1156,cash_in,web,Mumbai,grocery,22,8901.38,69655.73,60754.35,6,1,0
100131,1014,cash_in,ATM,Hyderabad,grocery,21,7187.18,65562.87,58375.689999999995,11,0,0
100132,1812,purchase,POS,Bangalore,utility,5,6171.94,65540.97,59369.03,10,0,0
100133,1064,cash_in,ATM,Mumbai,fashion,13,2464.78,48629.25,46164.47,11,0,0
100134,1856,payment,ATM,Hyderabad,electronics,6,5697.17,54150.68,48453.51,3,0,0
100135,1838,cash_in,ATM,Mumbai,fashion,21,5887.32,48545.3,42657.98,9,0,0
100136,1520,purchase,mobile,Chennai,grocery,1,4795.19,49317.37,44522.18,3,0,0
100137,1343,cash_in,POS,Chennai,grocery,10,7228.35,38845.05,31616.700000000004,4,0,0
100138,1128,cash_out,POS,Chennai,utility,20,4098.17,54225.03,50126.86,10,1,0
100139,1647,cash_out,web,Bangalore,travel,2,5027.055,56267.01,51946.08,1,0,0
100140,1471,purchase,web,Chennai,grocery,8,3334.07,64779.47,61445.4,2,1,0
100141,1062,payment,ATM,Bangalore,electronics,7,3871.91,55881.77,52009.86,6,1,0
100142,1138,payment,mobile,Chennai,utility,10,4625.02,63216.19,58591.17,1,0,0
100143,1498,transfer,web,Mumbai,travel,17,4534.73,38835.88,34301.149999999994,9,0,0
100144,1592,purchase,web,Hyderabad,utility,0,4422.41,71351.57,66929.16,8,0,0
100145,1391,cash_in,ATM,Hyderabad,grocery,14,7310.24,46381.2,39070.96,2,0,0
100146,1674,purchase,ATM,Chennai,travel,3,8756.74,19268.69,10511.949999999999,2,0,0
100147,1418,transfer,web,Hyderabad,fashion,3,1795.37,44157.65,42362.28,8,0,0
100148,1288,purchase,web,Chennai,travel,9,8698.65,58650.21,49951.56,11,0,0
100149,1378,purchase,POS,Chennai,electronics,10,6686.16,51233.07,44546.91,8,0,0
100150,1772,transfer,mobile,Delhi,fashion,17,2767.3,20869.82,18102.52,1,0,0
100151,1489,payment,POS,Delhi,fashion,22,4175.29,53227.35,49052.06,5,0,0
100152,1230,cash_in,web,Delhi,electronics,14,5709.97,51900.97,46191.0,11,1,0
100153,1040,transfer,POS,Bangalore,fashion,2,862.46,35428.49,34566.03,2,0,0
100154,1027,cash_out,POS,Delhi,grocery,6,4783.14,58467.72,53684.58,1,0,0
100155,1134,payment,web,Chennai,travel,6,6313.86,47992.56,41678.7,3,0,0
100156,1200,cash_out,ATM,Mumbai,travel,16,3139.07,20733.78,17594.71,3,0,0
100157,1839,payment,web,Delhi,electronics,21,1300.36,60426.13,59125.77,10,0,0
100158,1779,cash_in,ATM,Delhi,grocery,19,5496.61,52622.26,47125.65,9,0,0
100159,1929,cash_in,web,Mumbai,fashion,23,10520.63,72703.39,62182.76,10,0,0
100160,1032,purchase,web,Chennai,travel,15,3216.92,37025.81,33808.89,1,1,0
100161,1047,cash_out,web,Bangalore,travel,15,3282.39,46504.36,43221.97,11,1,0
100162,1502,payment,mobile,Delhi,travel,7,4498.77,65989.9,61491.12999999999,2,0,0
100163,1406,cash_in,ATM,Mumbai,travel,2,8924.32,36265.69,27341.370000000003,9,0,0
100164,1573,transfer,mobile,Chennai,utility,19,868.99,65461.24,64592.25,5,0,0
100165,1727,cash_in,web,Hyderabad,electronics,14,6924.56,65852.44,58927.880000000005,9,0,0
100166,1804,transfer,POS,Bangalore,fashion,0,3822.67,54706.71,50884.04,6,0,0
100167,1098,payment,mobile,Mumbai,fashion,9,4038.25,47523.07,43484.82,10,0,0
100168,1683,cash_in,ATM,Mumbai,electronics,1,2474.58,40290.7,37816.119999999995,10,0,0
100169,1871,cash_in,web,Mumbai,grocery,6,4377.57,39183.76,34806.19,3,1,0
100170,1725,payment,mobile,Delhi,electronics,13,2546.75,54662.46,52115.71,8,0,0
100171,1986,cash_in,POS,Hyderabad,travel,15,3644.2,6838.07,3193.87,9,0,0
100172,1546,transfer,mobile,Bangalore,travel,14,100.0,41644.15,41544.15,2,0,0
100173,1960,cash_in,ATM,Chennai,electronics,6,665.22,39575.54,38910.32,9,0,0
100174,1738,cash_out,mobile,Chennai,electronics,12,5841.81,35179.37,29337.56,4,1,0
100175,1612,purchase,POS,Hyderabad,fashion,9,8155.57,52785.66,44630.090000000004,8,1,0
100176,1942,transfer,POS,Mumbai,fashion,8,13074.57,27953.16,14878.59,5,0,0
100177,1461,cash_out,ATM,Mumbai,utility,8,7311.38,68043.09,60731.71,6,0,0
100178,1642,payment,POS,Mumbai,utility,5,3713.26,63703.71,59990.45,4,0,0
100179,1768,transfer,web,Mumbai,travel,23,100.0,70393.22,70293.22,5,0,0
100180,1004,purchase,POS,Mumbai,utility,11,6349.42,42091.61,35742.19,1,1,0
100181,1217,purchase,web,Hyderabad,utility,22,1368.69,53117.0,51748.31,3,0,0
100182,1502,payment,mobile,Delhi,grocery,19,2982.06,62347.57,59365.51,4,0,0
100183,1766,payment,web,Bangalore,electronics,19,7215.07,48037.91,40822.840000000004,1,0,0
100184,1397,transfer,web,Mumbai,fashion,21,5735.51,41500.93,35765.42,3,0,0
100185,1870,cash_in,mobile,Delhi,utility,13,2677.34,51795.19,49117.850000000006,4,0,0
100186,1794,payment,POS,Chennai,fashion,19,734.0,46924.65,46190.65,9,0,0
100187,1392,cash_in,web,Hyderabad,utility,6,5530.61,33939.78,28409.17,3,0,0
100188,1206,cash_out,POS,Delhi,utility,7,5839.24,14294.3,8455.06,11,0,0
100189,1014,purchase,mobile,Mumbai,travel,7,8759.65,36146.61,27386.96,3,0,0
100190,1857,cash_in,ATM,Mumbai,grocery,7,100.0,14605.83,14505.83,4,1,0
100191,1553,purchase,POS,Mumbai,electronics,1,5295.54,36950.17,31654.629999999997,9,0,0
100192,1891,cash_in,POS,Delhi,electronics,13,7291.92,71285.94,63994.020000000004,9,0,0
100193,1460,cash_out,ATM,Mumbai,travel,9,3949.39,22272.26,18322.87,1,0,0
100194,1690,payment,ATM,Delhi,travel,17,1008.35,56733.5,55725.15,8,1,0
100195,1574,cash_out,mobile,Mumbai,electronics,17,2688.03,68340.34,65652.31,10,0,0
100196,1863,payment,POS,Chennai,electronics,17,5093.54,26409.97,21316.43,1,0,0
100197,1742,payment,mobile,Chennai,grocery,15,3782.5,76914.94,73132.44,2,0,0
100198,1240,purchase,mobile,Bangalore,utility,19,5759.72,48852.94,43093.22,10,0,0
100199,1563,cash_out,POS,Mumbai,grocery,4,8198.38,70372.29,62173.909999999996,11,0,0
100200,1095,cash_in,web,Mumbai,electronics,19,4001.68,54062.63,50060.95,5,0,0
100201,1899,cash_out,web,Delhi,utility,4,8049.31,43090.2,35040.89,11,1,0
100202,1733,purchase,web,Delhi,electronics,19,4710.87,6388.45,1677.58,11,0,0
100203,1484,payment,POS,Mumbai,grocery,22,5847.32,33277.96,27430.64,6,0,0
100204,1406,purchase,web,Bangalore,grocery,9,4707.24,60196.25,55489.01,2,0,0
100205,1230,transfer,web,Mumbai,grocery,16,5912.07,73059.25,67147.18,10,0,0
100206,1748,transfer,mobile,Delhi,utility,12,6346.85,28930.21,22583.36,5,0,0
100207,1654,cash_in,mobile,Mumbai,fashion,16,6604.53,49105.0,42500.47,3,0,0
100208,1170,purchase,ATM,Delhi,fashion,17,5008.11,43310.1,38301.99,7,0,0
100209,1540,cash_in,ATM,Mumbai,electronics,12,100.0,56267.23,56167.23,1,1,0
100210,1035,cash_in,ATM,Hyderabad,utility,16,6488.85,51325.52,44836.67,5,0,0
100211,1524,transfer,ATM,Delhi,travel,14,100.0,44424.79,44324.79,3,0,0
100212,1159,cash_in,mobile,Bangalore,fashion,11,3482.79,59586.62,56103.83,11,0,0
100213,1838,transfer,mobile,Hyderabad,utility,9,100.0,39627.04,39527.04,2,0,0
100214,1698,payment,mobile,Mumbai,utility,12,9246.38,50168.6,40922.22,3,0,0
100215,1242,purchase,web,Delhi,fashion,10,6043.26,61551.6,55508.34,10,0,0
100216,1085,cash_in,web,Delhi,utility,2,4185.47,39104.47,34919.0,4,1,0
100217,1795,transfer,ATM,Bangalore,utility,21,8547.26,44615.67,36068.409999999996,11,0,0
100218,1577,cash_out,web,Delhi,fashion,9,6330.07,41629.71,35299.64,2,0,0
100219,1681,cash_in,POS,Hyderabad,grocery,10,5311.48,56782.54,51471.06,2,0,0
100220,1556,payment,mobile,Hyderabad,electronics,5,5987.86,55243.36,49255.5,3,0,0
100221,1573,payment,ATM,Hyderabad,travel,0,4044.85,42227.83,38182.98,2,1,0
100222,1952,cash_out,ATM,Chennai,electronics,5,1900.79,55113.09,53212.299999999996,6,0,0
100223,1645,transfer,POS,Mumbai,grocery,4,7402.23,7819.04,416.8100000000004,2,0,0
100224,1795,cash_in,web,Delhi,grocery,6,4822.58,62529.09,57706.509999999995,1,1,0
100225,1027,transfer,ATM,Delhi,utility,21,602.19,63435.52,62833.329999999994,8,0,0
100226,1619,payment,web,Delhi,electronics,11,6268.44,42404.28,36135.84,10,0,0
100227,1555,transfer,web,Hyderabad,grocery,11,5102.14,39420.25,34318.11,4,0,0
100228,1339,payment,POS,Mumbai,electronics,6,9249.55,49137.15,39887.600000000006,2,0,0
100229,1797,transfer,ATM,Bangalore,grocery,1,5671.33,36348.92,30677.589999999997,4,0,0
100230,1957,cash_out,web,Delhi,travel,0,2047.36,38680.18,36632.82,11,0,0
100231,1330,purchase,web,Mumbai,grocery,22,524.62,54617.79,54093.17,2,1,0
100232,1639,cash_out,POS,Mumbai,electronics,17,8160.74,62135.92,53975.18,11,0,0
100233,1505,cash_out,POS,Chennai,utility,11,4840.94,54768.07,49927.13,5,0,0
100234,1347,purchase,web,Delhi,electronics,6,2835.49,93294.93,90459.43999999999,7,0,0
100235,1472,purchase,POS,Hyderabad,fashion,18,3200.84,68728.81,65527.97,6,0,0
100236,1230,cash_in,web,Mumbai,electronics,21,8245.86,61030.63,52784.77,2,0,0
100237,1189,cash_in,ATM,Mumbai,travel,2,6179.52,60487.83,54308.31,11,0,0
100238,1224,cash_out,mobile,Bangalore,travel,9,7742.94,51301.38,43558.439999999995,4,0,0
100239,1384,cash_out,POS,Chennai,travel,10,5613.04,57569.8,51956.76,8,0,0
100240,1376,payment,mobile,Mumbai,grocery,4,2908.44,52963.93,50055.49,7,0,0
100241,1282,payment,web,Mumbai,travel,1,9466.44,65762.58,56296.14,7,1,0
100242,1957,cash_in,web,Hyderabad,electronics,7,4022.38,45812.91,41790.530000000006,4,0,0
100243,1632,cash_in,web,Hyderabad,utility,13,7011.03,45011.31,38000.28,1,0,0
100244,1627,payment,mobile,Bangalore,travel,7,7710.54,67671.02,59960.48,7,0,0
100245,1972,payment,web,Bangalore,electronics,22,5015.67,43100.14,38084.47,6,0,0
100246,1744,transfer,POS,Bangalore,grocery,5,2216.94,35826.07,33609.13,8,0,0
100247,1258,transfer,ATM,Hyderabad,grocery,0,3304.6,38778.06,35473.46,11,0,0
100248,1358,payment,ATM,Hyderabad,utility,23,6692.96,61229.26,54536.3,5,0,0
100249,1709,transfer,POS,Chennai,utility,0,6334.55,90078.29,83743.73999999999,8,0,0
100250,1455,purchase,ATM,Delhi,electronics,7,8251.66,36684.64,28432.98,10,0,0
100251,1410,cash_in,mobile,Delhi,utility,10,7848.24,59677.23,51828.990000000005,11,0,0
100252,1648,cash_in,web,Chennai,utility,17,2617.57,52306.64,49689.07,8,0,0
100253,1317,payment,web,Delhi,grocery,23,8609.1,66922.83,58313.73,9,0,0
100254,1676,cash_out,web,Hyderabad,electronics,9,2434.56,59545.69,57111.130000000005,1,0,0
100255,1224,payment,mobile,Delhi,utility,11,6486.99,67852.84,61365.85,3,1,0
100256,1818,transfer,mobile,Hyderabad,electronics,19,11053.66,54382.04,43328.380000000005,11,0,0
100257,1233,cash_out,mobile,Chennai,travel,22,5781.21,37478.39,31697.18,6,0,0
100258,1683,transfer,POS,Bangalore,grocery,15,553.05,39799.78,39246.729999999996,4,0,0
100259,1663,purchase,mobile,Chennai,grocery,4,5027.055,53179.71,48994.45,8,0,0
100260,1974,transfer,ATM,Delhi,grocery,15,10437.09,57006.24,46569.149999999994,10,0,0
100261,1826,purchase,POS,Hyderabad,fashion,23,4482.26,44236.83,39754.57,1,1,0
100262,1373,purchase,POS,Delhi,electronics,11,8317.49,80225.89,71908.4,5,0,0
100263,1671,transfer,POS,Delhi,travel,5,2608.44,64118.33,61509.89,4,0,0
100264,1607,transfer,mobile,Bangalore,utility,4,4110.81,18741.4,14630.59,1,1,0
100265,1471,purchase,POS,Delhi,travel,0,4460.74,48156.47,43695.73,10,1,0
100266,1232,cash_out,mobile,Bangalore,electronics,18,9877.29,34554.24,24676.949999999997,6,0,0
100267,1691,purchase,mobile,Hyderabad,grocery,9,4235.15,78594.24,74359.09000000001,10,0,0
100268,1112,cash_in,POS,Hyderabad,fashion,13,286.39,16709.9,16423.510000000002,3,0,0
100269,1829,purchase,web,Bangalore,electronics,20,10954.96,56281.13,45326.17,11,1,1
100270,1496,cash_out,web,Chennai,electronics,2,5568.67,51849.87,46281.200000000004,11,0,0
100271,1441,cash_in,POS,Hyderabad,utility,5,6636.66,62208.61,55571.95,5,1,0
100272,1563,payment,web,Chennai,travel,4,982.86,54841.42,53858.56,6,0,0
100273,1267,payment,ATM,Hyderabad,travel,16,5644.41,81039.87,75395.45999999999,4,0,0
100274,1509,cash_out,ATM,Hyderabad,utility,17,5047.74,63768.96,58721.22,10,0,0
100275,1806,purchase,mobile,Mumbai,fashion,11,2584.35,22428.6,19844.25,10,0,0
100276,1385,transfer,web,Delhi,grocery,4,6669.89,71063.24,64393.350000000006,6,1,0
100277,1386,cash_out,ATM,Delhi,grocery,8,734.06,53047.3,52313.240000000005,7,0,0
100278,1112,cash_in,POS,Chennai,fashion,11,2566.74,71088.7,68521.95999999999,2,0,0
100279,1612,cash_in,web,Delhi,utility,19,8029.89,45243.81,37213.92,7,0,0
100280,1624,payment,ATM,Chennai,electronics,8,3185.41,34065.05,30879.640000000003,7,0,0
100281,1951,cash_in,ATM,Hyderabad,travel,2,3766.61,31229.34,27462.73,2,0,0
100282,1080,cash_out,POS,Mumbai,electronics,0,5225.0,65920.94,60695.94,3,1,0
100283,1698,cash_in,mobile,Mumbai,travel,21,4070.13,61957.68,57887.55,3,0,0
100284,1112,cash_out,POS,Hyderabad,electronics,14,6727.22,41120.79,34393.57,1,0,0
100285,1001,transfer,mobile,Bangalore,utility,9,5439.95,9948.5,4508.55,1,0,0
100286,1641,payment,ATM,Bangalore,utility,13,1233.39,66495.12,65261.729999999996,10,0,0
100287,1219,cash_in,mobile,Delhi,fashion,6,3162.81,19437.14,16274.33,11,0,0
100288,1565,cash_out,ATM,Chennai,electronics,3,2892.4,82608.67,79716.27,6,1,0
100289,1854,purchase,ATM,Mumbai,electronics,4,3841.48,28318.79,24477.31,9,0,0
100290,1996,payment,web,Delhi,fashion,19,5279.94,50211.15,44931.21,9,0,0
100291,1735,transfer,mobile,Hyderabad,fashion,15,5765.72,53450.25,47684.53,11,0,0
100292,1224,cash_out,mobile,Mumbai,utility,2,100.0,55472.77,55372.77,1,0,0
100293,1384,transfer,mobile,Chennai,utility,16,7562.65,54864.25,47301.6,7,0,0
100294,1402,transfer,POS,Chennai,electronics,12,4772.83,51956.59,47183.759999999995,6,0,0
100295,1637,cash_in,web,Bangalore,utility,5,2199.0,43488.89,41289.89,4,0,0
100296,1129,cash_in,web,Delhi,utility,4,7380.8,46648.29,39267.49,11,0,0
100297,1052,cash_out,web,Hyderabad,electronics,15,100.0,40222.72,40122.72,3,0,0
